region,year,confirmed
Africa,2020,2700000
South America,2020,13020000
North America,2020,22460000
Oceania,2020,55071
Europe,2020,23020000
Asia excl. China,2020,20320000
China,2020,96592
Africa,2021,9920000
South America,2021,39840000
North America,2021,64100000
Oceania,2021,548908
Europe,2021,86320000
Asia excl. China,2021,90710000
China,2021,132071
Africa,2022,13590000
South America,2022,66610000
North America,2022,119470000
Oceania,2022,13320000
Europe,2022,242260000
Asia excl. China,2022,196980000
China,2022,82500000
